150 PA5-C-Debug-Output.txt 6
  -31.3667  -21.8283  -21.4661  -38.2728  -92.8824   68.1890
   11.69     3.89    60.68        11.69     3.89    60.68     0.000
  -21.83   -10.96   -47.41       -21.83   -10.96   -47.41     0.000
   20.61    26.87    -9.30        20.61    26.87    -9.30     0.000
  -11.26   -21.34    -9.31       -11.26   -21.34    -9.31     0.000
   22.05     7.66    56.26        22.05     7.66    56.26     0.000
   -6.63   -24.00   -39.15        -6.63   -24.00   -39.15     0.000
   -5.92    19.53    11.16        -5.92    19.53    11.16     0.000
   17.51    18.69   -30.60        17.51    18.69   -30.60     0.000
   13.87    29.08    -1.18        13.87    29.08    -1.18     0.000
   -4.42    -3.92    60.87        -4.42    -3.92    60.87     0.000
   29.08    20.73   -20.44        29.08    20.73   -20.44     0.000
   -4.25    -2.88   -40.18        -4.25    -2.88   -40.18     0.000
   10.57    23.24   -18.82        10.57    23.24   -18.82     0.000
   34.33    12.55   -17.73        34.33    12.55   -17.73     0.000
   -4.75     5.73   -24.24        -4.75     5.73   -24.24     0.000
   -4.50   -18.35   -40.77        -4.50   -18.35   -40.77     0.000
    2.92    22.51    44.03         2.92    22.51    44.03     0.000
  -26.95   -23.11    -6.54       -26.95   -23.11    -6.54     0.000
   -9.51    17.24    28.66        -9.51    17.24    28.66     0.000
  -36.98    -9.52   -39.44       -36.98    -9.52   -39.44     0.000
   36.93    -3.53    -2.77        36.93    -3.53    -2.77     0.000
   18.14    27.39     9.51        18.14    27.39     9.51     0.000
   -6.32     0.66    41.74        -6.32     0.66    41.74     0.000
  -27.08    -8.74    -6.43       -27.08    -8.74    -6.43     0.000
  -42.51   -11.09   -16.52       -42.51   -11.09   -16.52     0.000
   17.14   -11.82   -20.10        17.14   -11.82   -20.10     0.000
   -0.10   -17.58   -33.92        -0.10   -17.58   -33.92     0.000
  -13.63   -33.05   -22.06       -13.63   -33.05   -22.06     0.000
  -17.04     9.41   -21.93       -17.04     9.41   -21.93     0.000
    4.35    29.14    22.44         4.35    29.14    22.44     0.000
  -38.87   -21.76   -16.57       -38.87   -21.76   -16.57     0.000
  -24.95    -9.57    -4.49       -24.95    -9.57    -4.49     0.000
    5.64    25.72     2.21         5.64    25.72     2.21     0.000
  -10.58     4.06   -37.83       -10.58     4.06   -37.83     0.000
    6.19    -8.87   -22.62         6.19    -8.87   -22.62     0.000
  -25.27    10.71   -23.56       -25.27    10.71   -23.56     0.000
    5.65    12.10   -12.30         5.65    12.10   -12.30     0.000
  -10.35    -0.73    19.40       -10.35    -0.73    19.40     0.000
   -4.27   -25.47   -18.58        -4.27   -25.47   -18.58     0.000
   29.99    -8.54     8.98        29.99    -8.54     8.98     0.000
    7.66    -4.75   -22.60         7.66    -4.75   -22.60     0.000
   -2.77    -9.56    59.20        -2.77    -9.56    59.20     0.000
  -13.19    25.30    20.51       -13.19    25.30    20.51     0.000
   -8.28    30.17    15.44        -8.28    30.17    15.44     0.000
   -5.58   -17.37    -7.53        -5.58   -17.37    -7.53     0.000
   -6.32   -15.16   -43.13        -6.32   -15.16   -43.13     0.000
   11.15    25.14   -13.08        11.15    25.14   -13.08     0.000
   -2.47    -7.48   -35.88        -2.47    -7.48   -35.88     0.000
   -3.55    10.11   -15.54        -3.55    10.11   -15.54     0.000
   11.63    -8.64   -22.11        11.63    -8.64   -22.11     0.000
   -5.69    -5.45    50.14        -5.69    -5.45    50.14     0.000
   23.80     8.76    44.45        23.80     8.76    44.45     0.000
   22.12     7.34    55.53        22.12     7.34    55.53     0.000
  -15.11   -12.13   -48.06       -15.11   -12.13   -48.06     0.000
  -12.92   -17.90   -46.22       -12.92   -17.90   -46.22     0.000
   37.33     3.20   -11.04        37.33     3.20   -11.04     0.000
  -21.38   -13.05   -47.37       -21.38   -13.05   -47.37     0.000
   -8.59    -9.30    17.09        -8.59    -9.30    17.09     0.000
   30.08    21.03     1.61        30.08    21.03     1.61     0.000
   -3.37   -22.42   -16.98        -3.37   -22.42   -16.98     0.000
   32.90    -6.90    -6.80        32.90    -6.90    -6.80     0.000
   22.24    11.33    49.80        22.24    11.33    49.80     0.000
   13.29    -7.54    53.67        13.29    -7.54    53.67     0.000
   -2.84     4.19   -23.64        -2.84     4.19   -23.64     0.000
  -21.40    11.03   -31.70       -21.40    11.03   -31.70     0.000
  -35.39   -13.18   -41.04       -35.39   -13.18   -41.04     0.000
  -31.58     4.93   -34.21       -31.58     4.93   -34.21     0.000
   -7.15   -24.52   -39.22        -7.15   -24.52   -39.22     0.000
   38.26     0.79     9.32        38.26     0.79     9.32     0.000
   13.11    25.73   -28.14        13.11    25.73   -28.14     0.000
  -36.92   -24.18   -32.82       -36.92   -24.18   -32.82     0.000
  -25.35   -32.97   -30.37       -25.35   -32.97   -30.37     0.000
   32.71     9.35    16.31        32.71     9.35    16.31     0.000
   17.49    18.28    46.12        17.49    18.28    46.12     0.000
  -29.30    -2.13   -42.33       -29.30    -2.13   -42.33     0.000
   14.40    18.73    53.46        14.40    18.73    53.46     0.000
   -9.89   -20.82   -44.54        -9.89   -20.82   -44.54     0.000
  -22.61   -23.24    -6.25       -22.61   -23.24    -6.25     0.000
  -20.61   -13.49    -4.04       -20.61   -13.49    -4.04     0.000
   13.16    -7.68    33.69        13.16    -7.68    33.69     0.000
